"Format","MoTeC CSV File",,,"Workbook","Samples"
"Venue","spa",,,"Worksheet","Graph"
"Vehicle","ks_porsche_911_gt3_r_2016",,,"Vehicle Desc",""
"Driver","xxzerpia23",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Soft (S)",,,"Session","PRACTICE"
"Log Date","6/12/2026",,,"Origin Time","139.249","s"
"Log Time","1:02:00 AM",,,"Start Time","139.250","s"
"Sample Rate","20.000","Hz",,"End Time","281.100","s"
"Duration","141.850","s",,"Start Distance","6607","m"
"Range","Lap 1",,,"End Distance","13562","m"


"Engine RPM","Ground Speed","Throttle Pos","Brake Pos","Steering Angle","Lap Time"
"rpm","km/h","%","%","deg","s"


"7515","179.32","0.00","100.00","3.58","5.55"
"7331","175.87","0.00","98.14","2.74","5.61"
"7229","172.55","0.00","95.15","1.95","5.66"
"7139","169.24","0.00","90.22","1.95","5.70"
"6973","166.07","0.00","89.78","1.95","5.76"
"7452","163.04","80.00","88.24","1.95","5.81"
"8240","160.28","13.33","82.47","1.67","5.86"
"7846","157.38","0.00","78.96","1.12","5.91"
"7880","154.56","0.00","78.55","1.12","5.96"
"7676","151.74","0.00","78.34","1.40","6.01"
"7589","148.84","0.00","78.34","1.40","6.06"
"7500","146.01","0.00","78.34","1.40","6.11"
"7341","143.41","0.00","78.34","1.40","6.16"
"7212","141.13","0.00","78.34","1.40","6.20"
"7016","138.52","0.00","78.34","1.40","6.25"
"6825","135.73","24.00","78.34","1.12","6.30"
"8134","133.04","69.33","78.34","0.84","6.36"
"7979","130.42","0.00","78.34","0.84","6.41"
"7804","127.76","0.00","78.34","0.84","6.45"
"7767","124.87","0.00","78.34","0.84","6.51"
"7605","122.04","0.00","78.34","1.12","6.56"
"7518","119.24","0.00","78.34","1.67","6.61"
"7398","116.93","0.00","78.34","2.19","6.65"
"7213","114.31","0.00","78.34","2.74","6.70"
"6944","111.61","0.00","78.34","3.86","6.75"
"6834","108.93","0.00","78.34","4.93","6.80"
"6670","105.99","0.00","78.34","6.56","6.86"
"6622","103.34","72.00","77.74","8.74","6.91"
"7938","100.79","53.33","75.93","11.49","6.96"
"7728","98.77","0.00","72.97","14.23","7.00"
"7676","96.37","0.00","65.96","18.04","7.05"
"7849","93.64","0.00","59.53","22.41","7.10"
"7927","91.10","0.00","52.84","27.34","7.16"
"7763","89.22","0.00","45.86","32.27","7.20"
"7665","87.53","0.00","41.95","38.27","7.25"
"7494","85.75","0.00","41.11","44.83","7.31"
"7359","84.28","0.00","41.11","50.27","7.35"
"7227","82.66","0.00","41.11","56.26","7.41"
"7045","81.02","0.00","41.11","61.19","7.46"
"6895","79.50","0.00","41.11","66.12","7.51"
"6775","77.71","0.00","41.11","69.94","7.56"
"6591","76.17","0.00","41.11","73.75","7.61"
"6460","74.63","0.00","40.69","78.12","7.66"
"6381","73.17","0.00","39.18","81.93","7.70"
"6163","71.35","0.00","36.13","87.42","7.76"
"6049","70.01","0.00","32.98","91.23","7.81"
"5976","68.56","0.00","29.65","95.60","7.86"
"5851","67.19","0.00","25.77","98.91","7.91"
"5770","66.07","0.00","20.59","102.16","7.96"
"5706","65.08","0.00","14.56","104.90","8.01"
"5649","64.15","3.04","8.54","107.09","8.06"
"5610","63.53","6.86","4.61","108.16","8.10"
"5579","63.02","9.70","2.30","109.27","8.16"
"5546","62.56","12.84","0.99","110.34","8.20"
"5527","62.20","17.35","0.34","110.90","8.25"
"5517","61.92","22.25","0.02","111.46","8.30"
"5506","61.69","26.76","0.00","111.97","8.36"
"5493","61.53","29.50","0.00","112.53","8.41"
"5478","61.39","31.27","0.00","112.53","8.45"
"5479","61.25","33.63","0.00","113.09","8.50"
"5487","61.14","37.45","0.00","113.09","8.56"
"5490","61.06","41.86","0.00","113.09","8.61"
"5543","61.11","46.95","0.00","113.09","8.66"
"5642","61.26","51.37","0.00","113.09","8.70"
"5679","61.64","56.35","0.00","113.09","8.75"
"5813","62.30","62.70","0.00","113.09","8.81"
"5884","63.00","65.72","0.00","113.09","8.85"
"5886","63.81","66.89","0.00","113.09","8.90"
"6041","64.66","68.94","0.00","112.81","8.96"
"6114","65.48","69.72","0.00","111.97","9.00"
"6086","66.35","69.83","0.00","110.90","9.05"
"6223","67.18","69.83","0.00","108.44","9.11"
"6395","67.89","69.92","0.00","105.18","9.16"
"6394","68.83","70.41","0.00","100.53","9.20"
"6397","69.84","71.19","0.00","95.60","9.25"
"6649","70.63","72.07","0.00","89.61","9.31"
"6774","71.45","73.05","0.00","84.96","9.36"
"6815","72.48","73.64","0.00","81.42","9.41"
"6883","73.39","73.83","0.00","78.12","9.45"
"7019","74.17","73.83","0.00","75.14","9.50"
"7116","75.10","73.92","0.00","72.12","9.55"
"7095","76.14","73.92","0.00","69.38","9.60"
"7179","77.05","74.41","0.00","66.40","9.65"
"7412","77.80","75.78","0.00","62.82","9.70"
"7447","78.58","78.22","0.00","57.66","9.76"
"7519","79.25","79.00","0.00","54.08","9.80"
"7635","80.19","79.98","0.00","49.71","9.85"
"7674","81.13","82.22","0.00","45.34","9.90"
"7794","82.17","83.20","0.00","42.36","9.95"
"7872","83.23","83.50","0.00","39.90","10.00"
"7879","84.06","84.57","0.00","37.43","10.05"
"8085","84.91","87.01","0.00","35.53","10.10"
"8176","85.99","88.67","0.00","33.90","10.16"
"8227","87.27","90.13","0.00","32.78","10.20"
"8362","88.48","93.06","0.00","31.16","10.26"
"8560","89.66","97.37","0.00","28.69","10.31"
"8691","90.97","100.00","0.00","24.60","10.36"
"8770","92.36","100.00","0.00","21.34","10.41"
"8848","93.75","100.00","0.00","18.60","10.46"
"8978","95.05","100.00","0.00","17.76","10.51"
"8497","95.96","100.00","0.00","18.04","10.55"
"8181","95.81","100.00","0.00","18.60","10.60"
"7149","96.06","100.00","0.00","18.60","10.65"
"6559","97.10","100.00","0.00","19.16","10.70"
"6566","98.39","100.00","0.00","19.16","10.75"
"6644","99.62","100.00","0.00","19.67","10.81"
"6784","100.84","100.00","0.00","19.67","10.86"
"6876","101.81","100.00","0.00","19.67","10.90"
"6919","103.07","100.00","0.00","19.16","10.95"
"6980","104.31","100.00","0.00","17.76","11.00"
"7047","105.54","100.00","0.00","16.14","11.06"
"7143","106.72","100.00","0.00","15.30","11.10"
"7225","107.93","100.00","0.00","15.07","11.16"
"7294","109.22","100.00","0.00","14.79","11.21"
"7376","110.34","100.00","0.00","14.51","11.26"
"7449","111.31","100.00","0.00","13.67","11.30"
"7491","112.55","100.00","0.00","12.32","11.35"
"7590","113.73","100.00","0.00","11.21","11.40"
"7787","114.75","100.00","0.00","10.14","11.45"
"7794","115.96","100.00","0.00","8.51","11.50"
"7764","117.35","100.00","0.00","7.39","11.56"
"7907","118.45","100.00","0.00","7.67","11.61"
"8234","119.10","100.00","0.00","8.51","11.65"
"8123","120.36","100.00","0.00","8.23","11.70"
"8024","121.79","100.00","0.00","7.11","11.75"
"8178","122.93","100.00","0.00","5.77","11.81"
"8514","123.80","100.00","0.00","5.49","11.86"
"8359","125.07","100.00","0.00","6.32","11.91"
"8407","126.06","100.00","0.00","7.39","11.95"
"8441","127.21","100.00","0.00","7.67","12.00"
"8595","128.12","100.00","0.00","7.11","12.06"
"8581","129.35","100.00","0.00","5.77","12.10"
"8668","130.46","100.00","0.00","3.86","12.16"
"8849","131.21","100.00","0.00","3.02","12.20"
"8756","132.21","100.00","0.00","2.74","12.25"
"7695","132.11","100.00","0.00","1.40","12.31"
"7207","133.63","100.00","0.00","-0.28","12.36"
"7201","134.50","100.00","0.00","0.00","12.40"
"7220","135.60","100.00","0.00","0.84","12.45"
"7283","136.57","100.00","0.00","1.12","12.51"
"7380","137.54","100.00","0.00","1.12","12.56"
"7387","138.38","100.00","0.00","1.12","12.60"
"7421","139.44","100.00","0.00","1.12","12.66"
"7482","140.40","100.00","0.00","1.12","12.71"
"7525","141.25","100.00","0.00","1.12","12.75"
"7571","142.22","100.00","0.00","0.28","12.81"
"7653","143.21","100.00","0.00","0.28","12.86"
"7708","144.22","100.00","0.00","0.56","12.91"
"7739","145.01","100.00","0.00","1.40","12.95"
"7775","146.05","100.00","0.00","1.40","13.01"
"7850","147.04","100.00","0.00","0.84","13.06"
"7898","147.82","100.00","0.00","0.56","13.10"
"7923","148.86","100.00","0.00","0.56","13.16"
"7979","149.88","100.00","0.00","0.56","13.21"
"8032","150.64","100.00","0.00","0.84","13.25"
"8097","151.63","100.00","0.00","1.40","13.31"
"8125","152.47","100.00","0.00","2.19","13.35"
"8176","153.41","100.00","0.00","2.19","13.41"
"8207","154.41","100.00","0.00","2.19","13.46"
"8251","155.25","100.00","0.00","2.19","13.50"
"8327","156.19","100.00","0.00","2.19","13.56"
"8370","157.14","100.00","0.00","2.19","13.61"
"8387","157.91","100.00","0.00","2.19","13.65"
"8473","158.82","100.00","0.00","1.95","13.71"
"8492","159.75","100.00","0.00","1.95","13.76"
"8519","160.55","100.00","0.00","1.95","13.81"
"8580","161.40","100.00","0.00","1.95","13.86"
"8632","162.13","100.00","0.00","1.95","13.90"
"8658","163.05","100.00","0.00","1.95","13.95"
"8713","163.93","100.00","0.00","2.19","14.01"
"8717","164.62","100.00","0.00","3.30","14.05"
"8246","164.60","100.00","0.00","3.86","14.11"
"7261","165.48","100.00","0.00","3.86","14.15"
