"Format","MoTeC CSV File",,,"Workbook","Samples"
"Venue","spa",,,"Worksheet","Graph"
"Vehicle","ks_porsche_911_gt3_r_2016",,,"Vehicle Desc",""
"Driver","xxzerpia23",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Soft (S)",,,"Session","PRACTICE"
"Log Date","6/12/2026",,,"Origin Time","139.249","s"
"Log Time","1:02:00 AM",,,"Start Time","139.250","s"
"Sample Rate","20.000","Hz",,"End Time","281.100","s"
"Duration","141.850","s",,"Start Distance","6607","m"
"Range","Lap 1",,,"End Distance","13562","m"


"Engine RPM","Ground Speed","Throttle Pos","Brake Pos","Steering Angle","Lap Time"
"rpm","km/h","%","%","deg","s"


"9029","236.59","89.36","0.00","34.97","24.21"
"8589","235.62","85.94","0.00","34.97","24.26"
"8772","234.55","85.55","0.00","34.97","24.31"
"8601","233.76","85.55","0.00","34.97","24.35"
"8600","233.31","85.55","0.00","34.97","24.40"
"8633","232.94","85.25","0.00","34.97","24.45"
"8613","232.57","84.67","0.00","34.97","24.51"
"8572","232.25","84.08","0.00","35.53","24.56"
"8562","231.95","83.98","0.00","35.53","24.61"
"8599","231.70","83.98","0.00","35.53","24.66"
"8631","231.48","91.50","0.00","36.08","24.71"
"8588","231.37","99.41","0.00","36.08","24.76"
"8553","231.32","100.00","0.00","36.08","24.80"
"8544","231.23","100.00","0.00","36.08","24.85"
"8551","231.10","100.00","0.00","36.08","24.90"
"8553","230.99","100.00","0.00","36.08","24.95"
"8577","230.93","100.00","0.00","36.08","25.01"
"8684","230.85","100.00","0.00","37.15","25.06"
"8743","230.78","100.00","0.00","37.99","25.10"
"8650","230.92","100.00","0.00","38.55","25.16"
"8784","230.86","100.00","0.00","36.92","25.20"
"8836","230.82","100.00","0.00","34.46","25.26"
"8641","231.04","100.00","0.00","27.06","25.31"
"8565","231.13","100.00","0.00","14.23","25.36"
"8560","231.22","100.00","0.00","0.00","25.41"
"8601","231.26","100.00","0.00","-5.49","25.46"
"8511","231.43","100.00","0.00","-4.93","25.51"
"8500","231.54","100.00","0.00","-4.37","25.55"
"8520","231.67","100.00","0.00","-4.37","25.60"
"8566","231.82","100.00","0.00","-3.81","25.66"
"8626","231.77","100.00","0.00","-3.30","25.71"
"8557","231.93","100.00","0.00","-4.37","25.76"
"8565","232.06","100.00","0.00","-10.37","25.80"
"8572","232.20","100.00","0.00","-19.67","25.85"
"8850","232.13","100.00","0.00","-27.62","25.91"
"8745","232.01","100.00","0.00","-28.97","25.96"
"8579","231.86","100.00","0.00","-30.09","26.01"
"8532","231.91","100.00","0.00","-30.09","26.06"
"8537","231.91","100.00","0.00","-30.32","26.10"
"8694","231.92","100.00","0.00","-32.50","26.16"
"8953","231.78","100.00","0.00","-36.36","26.21"
"8542","231.63","100.00","0.00","-37.43","26.26"
"8560","231.32","100.00","0.00","-37.20","26.31"
"8543","231.26","100.00","0.00","-36.87","26.35"
"8552","231.26","100.00","0.00","-37.20","26.41"
"8595","231.18","100.00","0.00","-37.20","26.45"
"8583","231.15","100.00","0.00","-37.20","26.51"
"8550","231.13","100.00","0.00","-35.53","26.56"
"8536","231.13","100.00","0.00","-33.06","26.60"
"8582","231.09","100.00","0.00","-29.25","26.66"
"8566","231.12","100.00","0.00","-26.50","26.70"
"8560","231.17","100.00","0.00","-24.60","26.76"
"8548","231.19","100.00","0.00","-24.32","26.80"
"8544","231.22","100.00","0.00","-24.32","26.85"
"8555","231.25","100.00","0.00","-23.53","26.90"
"8555","231.31","100.00","0.00","-19.95","26.96"
"8552","231.38","100.00","0.00","-15.30","27.01"
"8557","231.44","100.00","0.00","-12.55","27.06"
"8551","231.54","100.00","0.00","-10.65","27.11"
"8550","231.63","100.00","0.00","-9.30","27.16"
"8562","231.77","100.00","0.00","-7.39","27.21"
"8574","231.90","100.00","0.00","-5.77","27.26"
"8589","232.07","100.00","0.00","-3.81","27.31"
"8566","232.26","100.00","0.00","-3.02","27.35"
"8560","232.49","100.00","0.00","-1.91","27.41"
"8555","232.69","100.00","0.00","-1.39","27.45"
"8574","232.92","100.00","0.00","-0.56","27.51"
"8588","233.12","100.00","0.00","-0.56","27.55"
"8591","233.37","100.00","0.00","-0.28","27.60"
"8591","233.59","100.00","0.00","-0.56","27.65"
"8611","233.83","100.00","0.00","-1.12","27.70"
"8624","234.07","100.00","0.00","-1.91","27.76"
"8625","234.28","100.00","0.00","-1.12","27.81"
"8627","234.53","100.00","0.00","0.84","27.86"
"8648","234.70","100.00","0.00","2.46","27.90"
"8645","234.94","100.00","0.00","3.58","27.96"
"8645","235.14","100.00","0.00","3.58","28.00"
"8662","235.37","100.00","0.00","2.74","28.06"
"8677","235.54","100.00","0.00","0.84","28.10"
"8681","235.78","100.00","0.00","0.00","28.16"
"8699","236.00","100.00","0.00","-0.56","28.21"
"8692","236.19","100.00","0.00","-1.12","28.26"
"8693","236.38","100.00","0.00","-1.12","28.30"
"8709","236.61","100.00","0.00","-0.84","28.36"
"8717","236.81","100.00","0.00","-0.28","28.41"
"8727","236.98","100.00","0.00","0.28","28.45"
"8726","237.21","100.00","0.00","1.67","28.51"
"8734","237.41","100.00","0.00","1.67","28.56"
"8746","237.58","100.00","0.00","1.12","28.60"
"8777","237.78","100.00","0.00","1.40","28.66"
"8765","237.98","100.00","0.00","1.12","28.71"
"8761","238.17","100.00","0.00","1.12","28.75"
"8766","238.41","100.00","0.00","1.12","28.81"
"8786","238.57","100.00","0.00","1.67","28.86"
"8791","238.75","100.00","0.00","1.67","28.91"
"8791","238.93","100.00","0.00","2.19","28.95"
"8793","239.12","100.00","0.00","2.19","29.00"
"8808","239.34","100.00","0.00","2.19","29.06"
"8822","239.51","100.00","0.00","2.74","29.11"
"8668","239.55","100.00","0.00","3.30","29.16"
"8295","239.14","100.00","0.00","3.30","29.20"
"7479","239.50","100.00","0.00","3.30","29.26"
"7479","239.65","100.00","0.00","3.30","29.31"
"7480","239.80","100.00","0.00","3.30","29.36"
"7484","239.94","100.00","0.00","3.30","29.41"
"7494","240.07","100.00","0.00","3.30","29.45"
"7505","240.24","100.00","0.00","3.30","29.51"
"7508","240.38","100.00","0.00","3.30","29.56"
"7507","240.53","100.00","0.00","3.30","29.61"
"7512","240.67","100.00","0.00","3.30","29.66"
"7516","240.81","100.00","0.00","3.30","29.70"
"7518","240.95","100.00","0.00","3.30","29.75"
"7524","241.13","100.00","0.00","3.30","29.81"
"7532","241.27","100.00","0.00","3.30","29.86"
"7535","241.42","100.00","0.00","3.86","29.91"
"7537","241.57","100.00","0.00","4.37","29.95"
"7550","241.70","100.00","0.00","4.93","30.00"
"7549","241.84","100.00","0.00","4.93","30.05"
"7548","242.01","100.00","0.00","4.93","30.11"
"7553","242.15","100.00","0.00","4.93","30.16"
"7566","242.28","100.00","0.00","5.49","30.21"
"7580","242.40","100.00","0.00","5.49","30.26"
"7565","242.54","100.00","0.00","6.56","30.30"
"7558","242.69","100.00","0.00","6.56","30.36"
"7574","242.81","100.00","0.00","6.56","30.41"
"7602","242.90","100.00","0.00","6.56","30.45"
"7591","243.03","100.00","0.00","6.56","30.51"
"7582","243.14","100.00","0.00","6.56","30.55"
"7579","243.27","100.00","0.00","6.32","30.60"
"7601","243.39","100.00","0.00","6.32","30.66"
"7614","243.49","100.00","0.00","6.32","30.71"
"7603","243.62","100.00","0.00","6.32","30.76"
"7600","243.73","100.00","0.00","6.32","30.81"
"7600","243.83","100.00","0.00","6.32","30.85"
"7610","243.93","100.00","0.00","6.32","30.90"
"7617","244.04","100.00","0.00","6.32","30.95"
"7621","244.17","100.00","0.00","6.32","31.01"
"7628","244.28","100.00","0.00","6.32","31.06"
"7627","244.38","100.00","0.00","6.32","31.11"
"7627","244.49","100.00","0.00","6.32","31.16"
"7626","244.59","100.00","0.00","6.32","31.21"
"7628","244.69","100.00","0.00","6.05","31.26"
"7638","244.79","100.00","0.00","6.05","31.31"
"7647","244.88","100.00","0.00","6.05","31.36"
"7643","244.98","100.00","0.00","6.05","31.41"
"7645","245.08","100.00","0.00","6.05","31.46"
"7656","245.17","100.00","0.00","5.77","31.51"
"7660","245.27","100.00","0.00","4.93","31.56"
"7657","245.36","100.00","0.00","3.86","31.61"
"7652","245.49","100.00","0.00","2.74","31.66"
"7673","245.58","100.00","0.00","1.12","31.71"
"7675","245.69","100.00","0.00","0.28","31.76"
"7668","245.82","100.00","0.00","0.00","31.81"
"7669","245.94","100.00","0.00","0.00","31.85"
"7686","246.07","100.00","0.00","0.84","31.91"
"7688","246.20","100.00","0.00","0.84","31.95"
"7686","246.34","100.00","0.00","1.95","32.01"
"7686","246.47","100.00","0.00","2.46","32.05"
"7700","246.62","100.00","0.00","2.46","32.11"
"7700","246.75","100.00","0.00","2.46","32.16"
"7708","246.88","100.00","0.00","2.46","32.21"
"7707","247.01","100.00","0.00","2.46","32.26"
"7708","247.14","100.00","0.00","1.95","32.31"
"7716","247.27","100.00","0.00","1.67","32.35"
"7721","247.42","100.00","0.00","1.40","32.41"
"7720","247.55","100.00","0.00","0.84","32.46"
"7728","247.68","100.00","0.00","0.56","32.51"
"7741","247.79","100.00","0.00","0.56","32.55"
"7735","247.94","100.00","0.00","0.56","32.61"
"7729","248.07","100.00","0.00","0.28","32.65"
"7741","248.22","100.00","0.00","0.00","32.71"
"7756","248.32","100.00","0.00","0.28","32.75"
"7754","248.47","100.00","0.00","1.40","32.81"
"7752","248.62","100.00","0.00","1.95","32.86"
"7756","248.74","100.00","0.00","1.40","32.91"
"7764","248.85","100.00","0.00","0.00","32.95"
"7764","248.99","100.00","0.00","-0.28","33.01"
"7767","249.11","100.00","0.00","0.00","33.05"
"7775","249.24","100.00","0.00","0.00","33.10"
"7778","249.38","100.00","0.00","0.00","33.16"
"7780","249.49","100.00","0.00","-0.28","33.20"
"7791","249.63","100.00","0.00","0.00","33.26"
"7793","249.74","100.00","0.00","1.40","33.30"
"7797","249.88","100.00","0.00","3.02","33.36"
"7796","249.99","100.00","0.00","2.74","33.40"
"7798","250.13","100.00","0.00","1.67","33.46"
"7804","250.23","100.00","0.00","0.56","33.50"
"7811","250.37","100.00","0.00","-0.28","33.56"
"7818","250.50","100.00","0.00","-0.28","33.61"
"7821","250.60","100.00","0.00","-0.28","33.66"
"7817","250.72","100.00","0.00","-0.56","33.70"
"7821","250.86","100.00","0.00","-0.56","33.76"
"7832","250.95","100.00","0.00","-0.84","33.80"
"7831","251.09","100.00","0.00","0.28","33.85"
"7830","251.23","100.00","0.00","0.28","33.91"
"7838","251.33","100.00","0.00","0.28","33.95"
"7846","251.45","100.00","0.00","0.00","34.01"
"7849","251.56","100.00","0.00","-0.28","34.05"
"7849","251.69","100.00","0.00","0.28","34.11"
"7850","251.82","100.00","0.00","0.00","34.16"
"7856","251.93","100.00","0.00","-0.56","34.20"
"7869","252.04","100.00","0.00","-1.39","34.26"
"7865","252.14","100.00","0.00","-1.39","34.30"
"7865","252.28","100.00","0.00","-1.39","34.35"
"7871","252.38","100.00","0.00","-0.56","34.40"
"7879","252.51","100.00","0.00","0.00","34.45"
"7879","252.63","100.00","0.00","0.28","34.51"
"7879","252.73","100.00","0.00","0.28","34.55"
"7887","252.86","100.00","0.00","0.28","34.60"
"7910","252.97","100.00","0.00","0.00","34.66"
"7899","253.07","100.00","0.00","-1.12","34.70"
"7894","253.21","100.00","0.00","-2.19","34.76"
"7901","253.32","100.00","0.00","-1.63","34.80"
"7902","253.44","100.00","0.00","0.28","34.86"
"7900","253.56","100.00","0.00","3.58","34.91"
"7910","253.66","100.00","0.00","3.58","34.95"
"7923","253.76","100.00","0.00","1.67","35.01"
"7923","253.87","100.00","0.00","-0.28","35.05"
"7920","254.00","100.00","0.00","-2.19","35.10"
"7925","254.10","100.00","0.00","-2.19","35.15"
"7923","254.23","100.00","0.00","-1.91","35.20"
"7935","254.34","100.00","0.00","-0.56","35.26"
"7940","254.44","100.00","0.00","0.84","35.31"
"7945","254.56","100.00","0.00","1.95","35.36"
"7936","254.69","100.00","0.00","1.95","35.41"
"7938","254.79","100.00","0.00","1.67","35.45"
"7953","254.89","100.00","0.00","0.84","35.51"
"7962","254.98","100.00","0.00","0.28","35.55"
"7949","255.11","100.00","0.00","-1.12","35.61"
"7939","255.24","100.00","0.00","-0.56","35.66"
"7970","255.30","100.00","0.00","-0.28","35.70"
"7989","255.39","100.00","0.00","-0.28","35.76"
"7962","255.51","100.00","0.00","0.00","35.80"
"7959","255.64","100.00","0.00","1.40","35.85"
"7986","255.74","100.00","0.00","2.46","35.91"
"8000","255.82","100.00","0.00","1.40","35.95"
"7983","255.95","100.00","0.00","-0.28","36.01"
"7979","256.05","100.00","0.00","-2.19","36.05"
"7982","256.16","100.00","0.00","-2.74","36.10"
"7990","256.27","100.00","0.00","-1.91","36.16"
"7996","256.36","100.00","0.00","-1.39","36.20"
"8001","256.47","100.00","0.00","-0.28","36.26"
"8008","256.55","100.00","0.00","0.00","36.30"
"8001","256.67","100.00","0.00","0.00","36.36"
"8001","256.76","100.00","0.00","0.28","36.40"
"8015","256.88","100.00","0.00","0.84","36.46"
"8021","256.95","100.00","0.00","1.40","36.51"
"8014","257.07","100.00","0.00","0.56","36.56"
"8015","257.17","100.00","0.00","-0.28","36.60"
"8029","257.27","100.00","0.00","-2.19","36.66"
"8027","257.37","100.00","0.00","-2.19","36.70"
"8028","257.48","100.00","0.00","-1.39","36.76"
"8034","257.56","100.00","0.00","-0.56","36.81"
"8035","257.67","100.00","0.00","0.00","36.86"
"8034","257.76","100.00","0.00","0.00","36.91"
"8036","257.85","100.00","0.00","0.00","36.95"
"8045","257.95","100.00","0.00","0.00","37.01"
"8048","258.06","100.00","0.00","-0.28","37.06"
"8048","258.14","100.00","0.00","-0.56","37.11"
"8053","258.24","100.00","0.00","-1.12","37.15"
"8059","258.33","100.00","0.00","-1.12","37.20"
"8058","258.42","100.00","0.00","-0.84","37.25"
"8060","258.53","100.00","0.00","-0.28","37.31"
"8062","258.62","100.00","0.00","0.00","37.35"
"8071","258.71","100.00","0.00","0.00","37.41"
"8073","258.80","100.00","0.00","0.00","37.45"
"8069","258.91","100.00","0.00","0.00","37.51"
"8078","258.99","100.00","0.00","0.00","37.56"
"8081","259.09","100.00","0.00","0.00","37.61"
"8080","259.18","100.00","0.00","0.28","37.65"
"8087","259.28","100.00","0.00","0.28","37.71"
"8087","259.37","100.00","0.00","0.28","37.75"
"8087","259.48","100.00","0.00","-0.28","37.81"
"8089","259.56","100.00","0.00","0.00","37.85"
"8096","259.65","100.00","0.00","1.12","37.91"
"8098","259.74","100.00","0.00","1.12","37.95"
"8100","259.85","100.00","0.00","1.12","38.01"
"8105","259.93","100.00","0.00","1.12","38.06"
"8109","260.02","100.00","0.00","1.12","38.11"
"8107","260.11","100.00","0.00","1.12","38.16"
"8109","260.21","100.00","0.00","0.28","38.21"
"8114","260.28","100.00","0.00","-0.28","38.26"
"8120","260.37","100.00","0.00","-0.28","38.30"
"8123","260.46","100.00","0.00","0.00","38.35"
"8128","260.56","100.00","0.00","0.28","38.41"
"8125","260.63","100.00","0.00","0.28","38.45"
"8124","260.74","100.00","0.00","0.28","38.51"
"8129","260.82","100.00","0.00","0.00","38.55"
"8135","260.89","100.00","0.00","0.00","38.60"
"8139","260.99","100.00","0.00","0.00","38.66"
"8142","261.07","100.00","0.00","0.00","38.71"
"8140","261.15","100.00","0.00","0.00","38.76"
"8139","261.26","100.00","0.00","0.00","38.81"
"8147","261.33","100.00","0.00","0.00","38.85"
"8155","261.41","100.00","0.00","0.00","38.91"
"8151","261.49","100.00","0.00","0.00","38.95"
"8151","261.59","100.00","0.00","0.00","39.01"
"8157","261.65","100.00","0.00","0.00","39.06"
"8161","261.75","100.00","0.00","0.00","39.11"
"8165","261.81","100.00","0.00","0.28","39.15"
"8168","261.88","100.00","0.00","0.28","39.20"
"8168","261.98","100.00","0.00","0.28","39.25"
"8170","262.07","100.00","0.00","-0.28","39.31"
"8174","262.13","100.00","0.00","-0.28","39.36"
"8173","262.23","100.00","0.00","0.00","39.41"
"8174","262.30","100.00","0.00","0.28","39.45"
"8178","262.38","100.00","0.00","0.28","39.51"
"8182","262.45","100.00","0.00","0.28","39.56"
"8185","262.53","100.00","0.00","0.00","39.61"
"8185","262.61","100.00","0.00","0.28","39.66"
"8188","262.69","100.00","0.00","0.28","39.71"
"8196","262.76","100.00","0.00","-0.28","39.75"
"8199","262.82","100.00","0.00","0.00","39.80"
"8192","262.91","100.00","0.00","0.00","39.86"
"8195","262.98","100.00","0.00","0.28","39.90"
"8197","263.07","99.12","0.16","0.28","39.96"
"8148","262.98","58.20","12.79","0.56","40.00"
"7929","261.16","0.00","100.00","0.00","40.06"
"7799","257.90","0.00","100.00","0.00","40.11"
"7681","253.93","0.00","100.00","0.28","40.16"
"7587","250.87","0.00","100.00","0.00","40.20"
"7469","247.08","48.00","100.00","0.00","40.26"
"8705","243.58","69.33","100.00","-0.84","40.31"
"8481","239.94","0.00","100.00","-0.84","40.36"
"8320","236.74","0.00","100.00","-0.84","40.41"
"8299","232.72","0.00","100.00","-1.12","40.46"
"8148","229.76","0.00","100.00","-1.12","40.50"
"7978","225.95","0.00","100.00","-0.84","40.56"
"7911","222.68","0.00","100.00","-0.28","40.60"
"7782","218.63","0.00","100.00","-0.28","40.66"
"7655","215.60","24.00","98.14","-0.28","40.70"
"8939","211.90","61.33","95.61","-0.28","40.75"
"8603","208.12","0.00","91.54","0.00","40.81"
"8532","205.20","0.00","90.88","0.28","40.86"
"8464","201.59","0.00","90.66","0.28","40.91"
"8321","198.88","0.00","90.66","-0.28","40.95"
"8204","195.15","0.00","90.66","-0.28","41.01"
"8104","192.41","0.00","90.66","-0.28","41.05"
"7928","188.77","0.00","90.66","-0.28","41.11"
"7776","185.92","0.00","90.66","0.00","41.16"
"7634","182.33","0.00","90.66","-0.28","41.21"
"8150","179.72","80.00","90.66","-0.28","41.25"
"8788","176.09","0.00","90.66","0.00","41.31"
"8410","173.36","0.00","90.66","-0.28","41.36"
"8562","169.94","0.00","90.66","0.00","41.41"
"8356","167.03","0.00","90.66","0.28","41.45"
"8243","163.48","0.00","90.66","1.40","41.51"
"8147","160.66","0.00","90.66","0.56","41.55"
"7946","157.26","0.00","90.66","0.00","41.61"
"7815","154.36","0.00","89.78","0.00","41.65"
"7660","151.05","0.00","86.08","0.28","41.70"
"7501","147.85","0.00","79.78","0.84","41.76"
"7433","145.50","0.00","75.53","1.40","41.80"
"7406","142.69","72.00","71.42","2.46","41.86"
"8679","140.18","45.33","66.14","4.65","41.91"
"8394","138.35","0.00","62.52","5.77","41.95"
"8317","136.12","0.00","57.48","7.95","42.00"
"8469","133.60","0.00","52.20","10.14","42.06"
"8387","131.54","0.00","42.23","11.76","42.11"
"8317","130.16","0.00","36.00","12.88","42.15"
"8230","128.65","0.00","32.37","14.51","42.20"
"8146","127.15","0.00","29.53","16.14","42.26"
"8063","125.83","0.00","26.84","17.76","42.31"
"7994","124.81","0.00","24.82","18.88","42.35"
"7918","123.55","3.04","22.30","21.06","42.41"
"7859","122.44","5.10","20.21","22.69","42.45"
"7806","121.40","8.43","19.30","24.32","42.51"
"7736","120.36","12.55","17.63","25.44","42.56"
"7681","119.47","16.66","15.49","26.50","42.61"
"7646","118.79","20.20","13.95","27.62","42.66"
"7610","118.06","24.80","11.62","28.69","42.70"
"7576","117.39","28.63","9.12","29.25","42.75"
"7556","116.77","32.64","7.26","29.25","42.81"
"7532","116.36","35.59","5.82","29.25","42.85"
"7506","115.86","39.50","3.45","29.81","42.91"
"7508","115.59","41.95","2.10","29.81","42.95"
"7514","115.36","44.60","0.91","29.81","43.00"
"7532","115.23","46.86","0.31","30.36","43.06"
"7539","115.19","49.12","0.02","30.88","43.11"
"7554","115.22","50.49","0.00","30.88","43.16"
"7553","115.30","51.08","0.00","31.99","43.21"
"7560","115.37","51.17","0.00","32.55","43.25"
"7570","115.46","51.17","0.00","34.18","43.30"
"7565","115.58","51.17","0.00","36.36","43.35"
"7591","115.65","51.17","0.00","38.55","43.41"
"7587","115.74","50.39","0.00","40.73","43.45"
"7576","115.80","49.31","0.00","42.92","43.50"
"7576","115.81","48.52","0.00","45.10","43.56"
"7579","115.75","47.25","0.00","47.29","43.61"
"7557","115.69","46.76","0.00","49.48","43.66"
"7562","115.53","45.68","0.00","50.55","43.71"
"7555","115.36","45.59","0.00","50.55","43.76"
"7525","115.21","45.59","0.00","50.55","43.81"
"7540","115.03","45.88","0.00","50.55","43.85"
"7567","114.81","47.45","0.00","49.20","43.90"
"7543","114.71","49.12","0.00","46.73","43.95"
"7562","114.61","50.30","0.00","44.27","44.00"
"7583","114.55","51.56","0.00","42.64","44.06"
"7586","114.55","52.34","0.00","40.97","44.11"
"7600","114.54","52.93","0.00","39.90","44.15"
"7607","114.58","54.59","0.00","37.71","44.20"
"7625","114.69","57.72","0.00","35.53","44.25"
"7662","114.91","60.55","0.00","33.06","44.31"
"7696","115.18","62.89","0.00","31.16","44.36"
"7686","115.54","64.94","0.00","28.69","44.41"
"7707","115.85","66.50","0.00","26.78","44.45"
"7750","116.25","68.45","0.00","24.60","44.50"
"7788","116.73","70.12","0.00","22.13","44.56"
"7810","117.15","71.29","0.00","20.23","44.60"
"7852","117.66","72.75","0.00","17.48","44.65"
"7868","118.28","75.00","0.00","14.51","44.70"
"7915","118.89","77.83","0.00","11.49","44.76"
"7951","119.61","79.98","0.00","7.67","44.81"
"7994","120.19","81.64","0.00","3.86","44.85"
"8017","121.03","82.42","0.00","-3.30","44.91"
"8067","121.82","82.42","0.00","-13.11","44.96"
"8109","122.50","80.17","0.00","-22.41","45.00"
"8144","123.21","75.19","0.00","-30.60","45.06"
"8162","123.88","70.31","0.00","-36.08","45.11"
"8216","124.41","67.39","0.00","-39.39","45.16"
"8247","124.79","66.31","0.00","-40.45","45.20"
"8288","125.25","65.72","0.00","-41.01","45.26"
"8328","125.65","64.26","0.00","-41.57","45.31"
"8332","125.96","63.19","0.00","-41.57","45.36"
"8342","126.28","61.33","0.00","-42.64","45.41"
"8352","126.55","58.01","0.00","-44.83","45.46"
"8335","126.72","55.08","0.00","-47.01","45.50"
"8312","126.80","50.88","0.00","-49.20","45.56"
"8289","126.74","47.55","0.00","-50.82","45.61"
"8256","126.63","45.29","0.00","-51.38","45.65"
"8216","126.41","42.55","0.00","-52.50","45.70"
"8178","126.11","40.39","0.00","-53.57","45.75"
"8146","125.81","39.21","0.00","-54.68","45.80"
"8129","125.41","39.02","0.00","-55.75","45.85"
"8097","124.97","38.43","0.00","-56.31","45.91"
"8069","124.58","38.43","0.00","-56.87","45.95"
"8039","124.13","38.43","0.00","-56.87","46.00"
"8008","123.63","38.43","0.00","-56.87","46.06"
"7973","123.14","38.43","0.00","-56.87","46.11"
"7958","122.73","40.19","0.00","-56.87","46.15"
"7957","122.27","44.21","0.00","-56.87","46.20"
"7980","121.90","46.76","0.00","-56.87","46.26"
"7989","121.69","48.91","0.00","-56.87","46.30"
"8011","121.52","52.05","0.00","-56.87","46.36"
"8013","121.47","54.10","0.00","-56.87","46.41"
"8016","121.49","55.56","0.00","-56.87","46.45"
"8036","121.59","58.30","0.00","-56.87","46.50"
"8069","121.79","60.94","0.00","-56.87","46.56"
"8090","122.06","64.16","0.00","-56.87","46.61"
"8110","122.39","66.99","0.00","-56.87","46.66"
"8147","122.66","67.87","0.00","-56.87","46.70"
"8159","123.07","68.36","0.00","-56.87","46.75"
"8204","123.44","68.45","0.00","-56.87","46.80"
"8244","123.81","68.45","0.00","-56.87","46.86"
"8258","124.19","68.45","0.00","-56.87","46.91"
"8274","124.58","68.45","0.00","-56.87","46.96"
"8308","124.88","68.45","0.00","-56.87","47.00"
"8367","125.17","69.05","0.00","-56.87","47.05"
"8350","125.59","69.92","0.00","-56.87","47.10"
"8393","125.97","71.00","0.00","-56.87","47.16"
"8462","126.26","71.78","0.00","-55.75","47.21"
"8437","126.71","72.17","0.00","-54.40","47.26"
"8472","127.00","72.17","0.00","-53.01","47.30"
"8493","127.38","72.17","0.00","-50.82","47.35"
"8537","127.71","72.17","0.00","-48.36","47.40"
"8541","128.07","72.17","0.00","-45.94","47.45"
"8545","128.50","72.17","0.00","-43.20","47.50"
"8609","128.82","72.17","0.00","-40.18","47.56"
"8607","129.26","72.17","0.00","-37.20","47.61"
"8628","129.63","72.17","0.00","-34.69","47.66"
"8648","130.06","71.88","0.00","-31.43","47.71"
"8686","130.34","71.88","0.00","-28.97","47.75"
"8687","130.79","71.68","0.00","-25.71","47.81"
"8706","131.22","71.29","0.00","-22.41","47.86"
"8722","131.63","70.70","0.00","-18.88","47.91"
"8737","132.07","70.31","0.00","-15.02","47.96"
"8745","132.52","69.72","0.00","-10.37","48.01"
"8751","132.92","69.24","0.00","-5.21","48.05"
"8784","133.38","68.16","0.00","3.58","48.10"
"8806","133.86","65.92","0.00","16.97","48.15"
"8795","134.35","63.38","0.00","28.41","48.20"
"8817","134.78","59.38","0.00","36.60","48.26"
"8846","135.04","56.94","0.00","40.45","48.31"
"8855","135.19","55.66","0.00","41.52","48.35"
"8865","135.32","55.27","0.00","41.52","48.40"
"8885","135.40","55.27","0.00","41.52","48.45"
"8907","135.48","57.23","0.00","41.52","48.50"
"8473","135.19","58.30","0.00","40.97","48.56"
"7296","135.60","60.35","0.00","39.11","48.61"
"7245","135.82","63.67","0.00","37.71","48.65"
"7257","136.05","68.56","0.00","36.60","48.70"
"7290","136.29","69.53","0.00","36.60","48.75"
"7303","136.59","69.63","0.00","36.60","48.81"
"7307","136.87","69.63","0.00","36.92","48.86"
"7316","137.18","69.24","0.00","37.43","48.91"
"7321","137.49","68.75","0.00","37.43","48.96"
"7335","137.82","68.06","0.00","37.43","49.01"
"7360","138.12","67.48","0.00","37.99","49.06"
"7369","138.38","66.89","0.00","39.11","49.11"
"7367","138.70","65.82","0.00","40.73","49.16"
"7390","138.99","65.04","0.00","42.36","49.20"
"7406","139.26","64.16","0.00","43.43","49.26"
"7414","139.54","63.19","0.00","43.99","49.31"
"7436","139.79","62.89","0.00","45.10","49.36"
"7440","139.99","62.89","0.00","45.10","49.40"
"7462","140.22","62.60","0.00","45.10","49.45"
"7470","140.45","62.11","0.00","45.10","49.50"
"7481","140.65","61.52","0.00","45.62","49.56"
"7488","140.82","60.16","0.00","46.73","49.61"
"7475","140.99","58.01","0.00","48.36","49.66"
"7476","141.05","56.25","0.00","49.48","49.70"
"7463","141.10","54.20","0.00","51.10","49.75"
"7457","141.10","51.95","0.00","52.73","49.80"
"7436","141.03","49.99","0.00","53.85","49.86"
"7426","140.88","47.94","0.00","54.36","49.91"
"7399","140.72","46.56","0.00","54.36","49.95"
"7395","140.50","46.47","0.00","54.36","50.01"
"7378","140.29","47.06","0.00","54.36","50.06"
"7387","140.13","50.20","0.00","54.36","50.11"
"7416","140.04","53.62","0.00","54.36","50.16"
"7416","140.01","54.01","0.00","54.36","50.21"
"7420","139.99","54.88","0.00","54.36","50.26"
"7416","140.00","56.06","0.00","54.36","50.31"
"7428","140.01","58.11","0.00","54.36","50.35"
"7447","140.12","63.38","0.00","54.36","50.40"
"7480","140.31","69.44","0.00","54.36","50.45"
"7498","140.61","75.69","0.00","54.36","50.50"
"7564","140.96","86.43","0.00","54.92","50.56"
"7628","141.46","100.00","0.00","54.92","50.61"
"7648","142.07","100.00","0.00","54.92","50.66"
"7667","142.64","100.00","0.00","54.92","50.70"
"7698","143.26","100.00","0.00","54.92","50.76"
"7755","143.85","100.00","0.00","54.92","50.81"
"7817","144.44","100.00","0.00","54.92","50.86"
"7841","144.95","100.00","0.00","54.92","50.90"
"7864","145.57","100.00","0.00","54.92","50.95"
"7898","146.16","100.00","0.00","54.64","51.00"
"7944","146.72","100.00","0.00","52.73","51.06"
